GEOID,pct_white
36001,75.19696385730795
36003,NA
36005,13.383685655985008
36007,85.46751148342743
36009,NA
36011,NA
36013,88.3862693050332
36015,NA
36017,NA
36019,NA
36021,NA
36023,NA
36025,NA
36027,75.53038050724709
36029,74.90855423054268
36031,NA
36033,NA
36035,NA
36037,NA
36039,NA
36041,NA
36043,95.87973378793424
36045,86.6309289106032
36047,36.06300820259603
36049,NA
36051,93.42338558691745
36053,92.70374841382895
36055,64.89961335372207
36057,NA
36059,66.63139313131974
36061,47.01250128189204
36063,83.28079425944189
36065,82.95429027608267
36067,75.48948714982649
36069,90.32299942420367
36071,67.59455710111169
36073,88.79614741955014
36075,95.03521665286338
36077,NA
36079,83.76272180385392
36081,28.12614132612616
36083,85.07087536039651
36085,62.576527633957866
36087,66.10336543099707
36089,93.10186722570774
36091,93.24187340134333
36093,76.43464297680403
36095,94.58136496962663
36097,NA
36099,NA
36101,NA
36103,73.55572823048027
36105,NA
36107,95.8314497970251
36109,79.43736643126834
36111,81.81700344075102
36113,95.24757586968583
36115,94.45494342726143
36117,90.97197327628417
36119,56.89709703166371
36121,NA
36123,NA
